CODE,NAME
0301E-0157,OPEN SPACE NEAR ERATA HOTEL
0301E-0156,THE WORD OF GOD MINISTRY INTERNATIONAL
0301E-0155,OPPOSITE A AND C SHOPPING MALL EAST LEGON
0301E-0154,EMMANUEL EYE CLINIC SHIASHIE
0301E-0153,PRESBY CHURCH EAST LEGON
0301E-0152,AMERICAN HOUSE EAST LEGON
0301E-0151,CHRISTIAN BOOK CENTRE EAST LEGON
0301E-0150,MENSAH WOOD ST EAST LEGON
0301E-0149,TIMBER MARKET EAST LEGON
0301E-0148,BLUE KIOSK SHIASHIE
0301E-0147,PRESBY J H S ABOTSIMAN
0301E-0146,EXT DOWN NEAR ADOFIO GUEST HSE MPEHUASEM
0301E-0145,CHURCH OF PENTECOST BAWALESHIE
0301E-0144,BAWALESHIE PRIMARY SCHOOL 1
0301E-0143,UNIVERSITY STAFF PRIM SCHOOL LEGON
0301E-0142,AKPLAGA VILL EAST LEGON EXT 1
0301E-0141,METEOLOGICAL SERVICE MPEHUASEM 1
0301E-0140,GHANA HOSTELS LTD FLATS PENTAGON
0301E-0139,JUBILEE HALL
0301E-0138,PROVIDENCE BAPTIST CHURCH WEST LEGON
0301E-0137,FOOD DISTRIBUTION KIOSK DZORWULU
0301E-0136,WESTLAND GARDENS JUNCTION WEST LEGON
0301E-0135,CLINIC WEST LEGON
0301E-0134,MT. HOLINESS CHURCH WEST LEGON
0301E-0133,PRESBY CHURCH OF GHANA WEST LEGON
0301E-0132,GIMPA
0301E-0131,COMMONWEALTH HALL 1
0301E-0130,LEGON HALL 1
0301E-0129,VOLTA HALL
0301E-0128,AKUAFFO HALL 1
0301E-0127,MENSAH SARBAH HALL 1
0301E-0126,PRESBY CHURCH (ALSYDACADEMY)
0301E-0125,KING OF KINGS INTERNATIONAL DZORWULU
0301E-0124,METHODIST CHURCH DZORWULU
0301E-0123,LITTLE FLOWERS MONTES SORI PRIM and JHS
0301E-0122,DZORWULU J H S 1
0301E-0121,INTERNATIONAL STUDENTS HOSTEL
0301E-0120,ENGLEBERT INTERNATIONAL SCHOOL
0301E-0119,ASSOCIATION INTERNATIONAL SCHOOL 1
0301E-0118,PAN AFRICAN WRITERS ASSOCIATION
0301E-0117,JACK and JILL INTERNATIONAL SCHOOL 1
0301E-0116,PRISONS 1and2 JHS ROMAN RIDGE
0301E-0115,OPEN SPACE NEAR BANK OF GHANA FLATS
0301E-0114,ECOLE FRANCAISE SCHOOL ROMAN RIDGE
0301E-0113,DILAPE MATERNITY HOME ADAAMA
0301E-0112,ACCRA GIRLS VOCATIONAL INSTITUTE TESANO
0301E-0111,BELMAR KINDERGATEN ABELENKPE
0301E-0110,PENTECOSTAL CHURCH ABELENKPE
0301E-0109,ACHIMOTA BUSINESS COLLEGE ABELENKPE
0301E-0108,SOLID FOUNDATION PREP SCHOOL ABELENKPE
0301E-0107,PRESBYTERIAN CHURCH  ABELENKPE 1
0301E-0106,APOSTOLIC REVELATION SOCIETY ABELENKPE
0301E-0105,ACCRA CITY COUN PRIMARY SCHOOL 1
0301E-0104,THE LIVING GOD TEMPLE ALAJO
0301E-0103,PENTECOST CHURCH ALAJO
0301E-0102,G P R T U OFFICE 1 ALAJO
0301E-0101,SAFIANU'S MOSQUE C209/16
0301E-0100,ALAJO CENTRAL MOSQUE 1
0301E-0099,OPEN SPACE NEAR ALAJO PUBLIC TOILET
0301E-0098,ALAJO PRESBY PRIMARY SCHOOL 1
0301E-0097,G P R T U TAXI RANK NORTH ALAJO
0301E-0096,SANTA LUCIA MATERNITY HOME NORTH ALAJO
0301E-0095,CENTRE OF LANGUAGES AND PROFESSIONAL STUDIES
0301E-0094,ALAJO 1 and 2 J H S
0301E-0093,SEM  CINEMA HALL ALAJO
0301E-0092,CHRIST AMBASSADOR CHURCH
0301E-0091,EBONY RESTAURANT 1 PIG FARM
0301E-0090,PIG FARM 1 and 2 PRIMARY SCHOOL
0301E-0089,CHRIST CHURCH OF GRACE PIG FARM
0301E-0088,APOSTOLIC REVELATION SOCIETY PIG FARM
0301E-0087,KOTOBABI 1 J H S 1
0301E-0086,GERALDO INTERNATIONAL SCHOOL 1
0301E-0085,ST GABRIEL'S ANGLICAN CHURCH KOTOBABI
0301E-0084,KOTOBABI 5and6 J H S
0301E-0083,FAITH CHRISTIAN ACADEMY 1
0301E-0082,ST MICHAELS COLLEGE 1 KOTOBABI
0301E-0081,CITY OF GHANA ACADEMY 1 KOTOBABI
0301E-0080,PACIFIC VIDEO HALL NEW TOWN
0301E-0079,RAINBOW DAY CARE CENTRE
0301E-0078,MRS DUAH'S MATERNITY HOME NEW TOWN
0301E-0077,NEW TOWN POST OFFICE 1
0301E-0076,NEW TOWN 5 and 12 PRIMARY SCHOOL
0301E-0075,NEW TOWN EXPERIMENTAL SCHOOL J H S 1
0301E-0074,ROYAL ACADEMY OF ACCOUNTANCY NEW TOWN
0301E-0073,ROMAN CATHOLIC PRIM SCHOOL KPEHE
0301E-0072,NEW HEAVEN PREPARATORY SCHOOL KPEHE
0301E-0071,AKWA NDOR MANTSE PALACE
0301E-0070,FORMER WEST AFRICA SECONDARY SCHOOL
0301E-0069,KINGS COLLEGE KOKOMLEMLE
0301E-0068,NEAR APEX GUEST HOUSE
0301E-0067,NEW TOWN 2and10 SCHOOL 1
0301E-0066,HARVARD COLLEGE KOKOMLEMLE
0301E-0065,ESTHER'S DAY CARE CENTRE KOKOMLEMLE 1
0301E-0064,HYATT VIDEO CENTRE KOKOMLEMLE
0301E-0063,PENTECOST CHURCH KOKOMLEMLE 1
0301E-0062,MUSAMA DISCO CHRISTO CHURCH
0301E-0061,KOKOMLEMLE 9and10 SCHOOL 1
0301E-0060,SARBAH RD HARVARD PRIM and JHS 1
0301E-0059,ADJACENT SAMPI HOUSE 1
0301E-0058,ACCRA TECH TRAINING SCHOOL 1
0301E-0057,OPEN SPACE OPP KING DAVID HOTEL
0301E-0056,MODERN PHOTO STUDIO KOKOMLEMLE 1
0301E-0055,ASSEMBLY OF GOD CHURCH NEW TOWN
0301E-0054,CHRIST EVANGELICAL MISSION NEW TOWN
0301E-0053,INTERCO NEW TOWN
0301E-0052,GHANA COUNTY PREPARATORY SCH
0301E-0051,NEW TOWN BETHEL
0301E-0050,SHARDOW MOSQUE NEW TOWN
0301E-0049,WHITE HOUSE NEW TOWN
0301E-0048,BABA GORRO MEMORIAL MOSQUE NEW TOWN
0301E-0047,AKOTEX MOSQUE NEW TOWN
0301E-0046,YELLOW HSE NEW TOWN
0301E-0045,ZIKS VIDEO CENTRE NEW TOWN
0301E-0044,ACCRA NEW TOWN J H S MAMOBI
0301E-0043,FAMILY DAY CARE CENTRE MAMOBI
0301E-0042,M D C C MAMOBI
0301E-0041,MAMOBI CLINIC
0301E-0040,JUBILEE CHURCH MAMOBI
0301E-0039,BETHANY NURSERY AND PREP
0301E-0038,WILBERFORCE PREP SCH MAMOBI
0301E-0037,EVANGELICAL CHURCH OF GHANA 1
0301E-0036,SENYA INTERNATIONAL SCHOOL 1
0301E-0035,KOTOKA MEMORIAL SCHOOL
0301E-0034,"ACCRA GIRLS SEC SCH 1, MAMOBI"
0301E-0033,UNITED FAITH TABERNACLE SCH MAMOBI
0301E-0032,VICTORY INTERNATIONAL PREP SCH
0301E-0031,SEWABA CINEMA HALL 1 MAMOBI
0301E-0030,CITY PLAZA VIDEO CENTRE
0301E-0029,ALFALAH ISLAMIC SCHOOL
0301E-0028,MOSQUE NEAR H/N 61/16 MAMOBI
0301E-0027,H/NO E 306/13 NEAR TAXI RANK
0301E-0026,ALSAFIYA ISLAMIC SCH NIMA
0301E-0025,ISLAMIC RESEARCH INSTITUTE NIMA
0301E-0024,ST LOUIS CLINIC NIMA
0301E-0023,PENTECOST EMMANUEL TEMPLE NIMA
0301E-0022,NIMA POST OFFICE
0301E-0021,MOUNT ZION PREPARATORY SCHOOL
0301E-0020,DE' YOUNGSTERS INTERNATIONAL SCHOOL
0301E-0019,NIMA 1 J S S
0301E-0018,RASHAD ARABIC and ENGLISH SCHOOL 441
0301E-0017,HOMETEL OF GRACE PREPARATORY SCH
0301E-0016,ANANI INTERNATIONAL SCHOOL NIMA
0301E-0015,ALHAJI IDRISU'S HOUSE
0301E-0014,ADABIYA ISLAMIC SCHOOL NIMA
0301E-0013,NURIYA ISLAMIC SCHOOL NIMA
